bodyId_pre,bodyId_post,pre_name,post_name,type_pre_col,type_post_col,type_pre,type_post,roi_pre,roi_post,count
1292113218,1261432168,ER3da_L_1292113218,ER3dd_R_1261432168,ER3da_L,ER3dd_R,ER3d,ER3d,EB,EB,1
1292113218,1261432159,ER3da_L_1292113218,ER3db_L_1261432159,ER3da_L,ER3db_L,ER3d,ER3d,EB,EB,1
1292113218,1261432052,ER3da_L_1292113218,ER3dd_L_1261432052,ER3da_L,ER3dd_L,ER3d,ER3d,EB,EB,1
1292113218,1261423534,ER3da_L_1292113218,ER3dd_R_1261423534,ER3da_L,ER3dd_R,ER3d,ER3d,EB,EB,1
1292113218,1199017128,ER3da_L_1292113218,ER2b_L_1199017128,ER3da_L,ER2b_L,ER3d,ER2,EB,EB,1
1292113218,1198943369,ER3da_L_1292113218,ER2d_R_1198943369,ER3da_L,ER2d_R,ER3d,ER2,EB,EB,1
1292113218,1198680426,ER3da_L_1292113218,ER2d_L_1198680426,ER3da_L,ER2d_L,ER3d,ER2,EB,EB,1
1292113218,1198334861,ER3da_L_1292113218,ER2a_L_1198334861,ER3da_L,ER2a_L,ER3d,ER2,EB,EB,1
1292113218,1198006801,ER3da_L_1292113218,ER4d_L_1198006801,ER3da_L,ER4d_L,ER3d,ER4d,EB,EB,1
1292121433,1292113218,ER3dd_R_1292121433,ER3da_L_1292113218,ER3dd_R,ER3da_L,ER3d,ER3d,EB,EB,1
1292121433,5813061251,ER3dd_R_1292121433,EPG_R8_5813061251,ER3dd_R,EPG_R8,ER3d,EPG,EB,EB,1
1292458366,1137219365,ER3dd_L_1292458366,ER2a_R_1137219365,ER3dd_L,ER2a_R,ER3d,ER2,EB,EB,1
1292458303,1261427999,ER3db_L_1292458303,ER3dd_L_1261427999,ER3db_L,ER3dd_L,ER3d,ER3d,EB,EB,1
1292458366,1126647624,ER3dd_L_1292458366,EPG_R8_1126647624,ER3dd_L,EPG_R8,ER3d,EPG,EB,EB,1
1292458303,1323156554,ER3db_L_1292458303,ER3pb_R_1323156554,ER3db_L,ER3pb_R,ER3d,ER3p,EB,EB,1
1292458303,1322811232,ER3db_L_1292458303,ER3pb_L_1322811232,ER3db_L,ER3pb_L,ER3d,ER3p,EB,EB,1
1292458303,1292121433,ER3db_L_1292458303,ER3dd_R_1292121433,ER3db_L,ER3dd_R,ER3d,ER3d,EB,EB,1
1292458303,1261773304,ER3db_L_1292458303,ER3dd_R_1261773304,ER3db_L,ER3dd_R,ER3d,ER3d,EB,EB,1
1292458303,1261768913,ER3db_L_1292458303,ER3m_R_1261768913,ER3db_L,ER3m_R,ER3d,ER3m,EB,EB,1
1292458303,1261768644,ER3db_L_1292458303,ER3ac_R_1261768644,ER3db_L,ER3ac_R,ER3d,ER3a,EB,EB,1
1292458303,1261760448,ER3db_L_1292458303,ER3aa_L_1261760448,ER3db_L,ER3aa_L,ER3d,ER3a,EB,EB,1
1292458303,1261760414,ER3db_L_1292458303,ER3ad_R_1261760414,ER3db_L,ER3ad_R,ER3d,ER3a,EB,EB,1
1292458303,1261760187,ER3db_L_1292458303,ER3dc_R_1261760187,ER3db_L,ER3dc_R,ER3d,ER3d,EB,EB,1
1292458303,1261427857,ER3db_L_1292458303,ER3da_L_1261427857,ER3db_L,ER3da_L,ER3d,ER3d,EB,EB,1
1292445517,1126647624,ER3db_L_1292445517,EPG_R8_1126647624,ER3db_L,EPG_R8,ER3d,EPG,EB,EB,1
1292458303,1261423454,ER3db_L_1292458303,ER3dc_R_1261423454,ER3db_L,ER3dc_R,ER3d,ER3d,EB,EB,1
1292458303,1261086734,ER3db_L_1292458303,ER3da_R_1261086734,ER3db_L,ER3da_R,ER3d,ER3d,EB,EB,1
1292458303,1260327246,ER3db_L_1292458303,ER3pb_R_1260327246,ER3db_L,ER3pb_R,ER3d,ER3p,EB,EB,1
1292458303,1168249921,ER3db_L_1292458303,ER2d_R_1168249921,ER3db_L,ER2d_R,ER3d,ER2,EB,EB,1
1292458303,1167563121,ER3db_L_1292458303,ER2a_R_1167563121,ER3db_L,ER2a_R,ER3d,ER2,EB,EB,1
1292458303,1125964814,ER3db_L_1292458303,EPG_R8_1125964814,ER3db_L,EPG_R8,ER3d,EPG,EB,EB,1
1292445517,5813020587,ER3db_L_1292445517,ER3dc_L_5813020587,ER3db_L,ER3dc_L,ER3d,ER3d,EB,EB,1
1292445517,1261423480,ER3db_L_1292445517,ER3dc_L_1261423480,ER3db_L,ER3dc_L,ER3d,ER3d,EB,EB,1
1292445517,1261423454,ER3db_L_1292445517,ER3dc_R_1261423454,ER3db_L,ER3dc_R,ER3d,ER3d,EB,EB,1
1292445517,1261091174,ER3db_L_1292445517,ER3da_L_1261091174,ER3db_L,ER3da_L,ER3d,ER3d,EB,EB,1
1261760187,1261773414,ER3dc_R_1261760187,ER3db_R_1261773414,ER3dc_R,ER3db_R,ER3d,ER3d,EB,EB,1
1261760187,1261760448,ER3dc_R_1261760187,ER3aa_L_1261760448,ER3dc_R,ER3aa_L,ER3d,ER3a,EB,EB,1
1261760187,1261432159,ER3dc_R_1261760187,ER3db_L_1261432159,ER3dc_R,ER3db_L,ER3d,ER3d,EB,EB,1
1230738118,1261760225,ER5_L_1230738118,ER3aa_L_1261760225,ER5_L,ER3aa_L,ER5,ER3a,EB,EB,1
1230738163,1323156554,ER3ac_L_1230738163,ER3pb_R_1323156554,ER3ac_L,ER3pb_R,ER3a,ER3p,EB,EB,1
1230738163,1322811128,ER3ac_L_1230738163,ER3pb_L_1322811128,ER3ac_L,ER3pb_L,ER3a,ER3p,EB,EB,1
1230738163,1322470462,ER3ac_L_1230738163,ER1a_R_1322470462,ER3ac_L,ER1a_R,ER3a,ER1,EB,EB,1
1230738163,1322470368,ER3ac_L_1230738163,ER1a_R_1322470368,ER3ac_L,ER1a_R,ER3a,ER1,EB,EB,1
1230738163,1322129437,ER3ac_L_1230738163,ER1a_L_1322129437,ER3ac_L,ER1a_L,ER3a,ER1,EB,EB,1
1230738163,1292807819,ER3ac_L_1230738163,ER3m_R_1292807819,ER3ac_L,ER3m_R,ER3a,ER3m,EB,EB,1
1230738163,1292799162,ER3ac_L_1230738163,ER3m_L_1292799162,ER3ac_L,ER3m_L,ER3a,ER3m,EB,EB,1
1230738163,1291780631,ER3ac_L_1230738163,ER3m_L_1291780631,ER3ac_L,ER3m_L,ER3a,ER3m,EB,EB,1
1230738163,1262114202,ER3ac_L_1230738163,ER3m_R_1262114202,ER3ac_L,ER3m_R,ER3a,ER3m,EB,EB,1
1230738163,1262105601,ER3ac_L_1230738163,ER3aa_L_1262105601,ER3ac_L,ER3aa_L,ER3a,ER3a,EB,EB,1
1230738163,1261773330,ER3ac_L_1230738163,ER3ad_L_1261773330,ER3ac_L,ER3ad_L,ER3a,ER3a,EB,EB,1
1230738163,1261760489,ER3ac_L_1230738163,ER3ad_L_1261760489,ER3ac_L,ER3ad_L,ER3a,ER3a,EB,EB,1
1230738163,1261760414,ER3ac_L_1230738163,ER3ad_R_1261760414,ER3ac_L,ER3ad_R,ER3a,ER3a,EB,EB,1
1230738163,1261432076,ER3ac_L_1230738163,ER3db_L_1261432076,ER3ac_L,ER3db_L,ER3a,ER3d,EB,EB,1
1230738163,1261427857,ER3ac_L_1230738163,ER3da_L_1261427857,ER3ac_L,ER3da_L,ER3a,ER3d,EB,EB,1
