iff,Catmaid name,% reviewed,Export date,Backbone coordinate,Latest segment IDs,Cell type proposal,Proofreader,Latest update,Ongoing,To split,Completed,Comments,Num. of segs,CATMAID skid,Supervoxel ID,Root ID,Root ID updated
Delta7,Delta7_L6R3_FS_MS,0,21/03/2025,"23196, 28480, 2031",576460752481596530,,Griffin,17/08/2025,FALSE,FALSE,TRUE,,0,,121687349892491260,576460752481596530,2025-12-19
Delta7,Delta7_L7R2_FS,0,21/03/2025,"5562, 29634, 2339","576460752483374504,576460752440259431",,Griffin,18/08/2025,FALSE,FALSE,TRUE,int error,1,,81208554438026326,576460752483374504,2025-12-19
Delta7,Delta7_L7R2_FS,0,21/03/2025,"22972, 29438, 2036",576460752415219637,,Griffin,24/09/2025,FALSE,FALSE,TRUE,,0,,120596634357738623,576460752415219637,2025-12-19
Delta7,Delta7_L7R2_FS,0,21/03/2025,"16249, 27855, 1878","576460752401256690,576460752532845189",,Griffin,06/10/2025,FALSE,FALSE,TRUE,,1,,105906609254867018,576460752401256690,2025-12-19
Delta7,Delta7_L7R2_FS,0,21/03/2025,"17290, 27540, 1854","576460752481855708, 576460752483139618",,Stanley&Griffin,06/10/2025,FALSE,FALSE,TRUE,,1,,108140816882489287,576460752483139618,2025-12-19
Delta7,Delta7_L8R1R9_FS,0,21/03/2025,"16485, 27969, 1818",576460752436243743,,Griffin,25/09/2025,FALSE,FALSE,TRUE,,0,,105906609254829688,576460752436243743,2025-12-19
Delta7,Delta7_L8R1R9_FS,0,21/03/2025,"19285, 29093, 2009","576460752403521177,576460752422313702,576460752478702028",,Griffin,26/09/2025,FALSE,FALSE,TRUE,Merge int error again...,2,,112697467945962625,576460752478702028,2025-12-19
Delta7,Delta7_L8R1R9_FS,0,21/03/2025,"19134, 29361, 1998",576460752452939998,,Griffin,26/09/2025,FALSE,FALSE,TRUE,,0,,111589160225155364,576460752465382512,2025-12-19
Delta7,Delta7_L8R1R9_FS,0,21/03/2025,"19003, 28782, 1994",576460752490640434,,Griffin,26/09/2025,FALSE,FALSE,TRUE,belongs to L7R2 type,0,,111571568039110035,576460752490640434,2025-12-19
Delta7,Delta7_L8R1R9_FS,0,21/03/2025,,"576460752496849931,576460752342112590,576460752469560230,576460752341962890,576460752305692966,576460752464984567,576460752387922066,576460752491916131,576460752375470316,576460752490603307,576460752315114800,576460752462515969,576460752417347261,576460752471185913,576460752467074697,576460752320670576,576460752419080599,576460752436034389,576460752383516518,576460752531702064,576460752343612076,576460752342960044,576460752378659370,576460752469378281,576460752353254833,576460752306694222,576460752409468910,576460752515336362,576460752486649304,576460752362840541,576460752306361375,576460752480750078,576460752481511422,576460752450473842,576460752341189172,576460752360735077,576460752478551453,576460752422371814,576460752471117305,576460752490164274,576460752468073922,576460752328020784,576460752317430847,576460752441842190,576460752492204991,576460752478127129,576460752459550046,576460752414378876,576460752373475650,576460752439996223,576460752467132297,576460752488358902,576460752347720564,576460752470852307,576460752312969518,576460752362814613,576460752452198017,576460752350088913,576460752440033127,576460752496856075,576460752321593690,576460752474414417,576460752345331006,576460752486764248,576460752422323686,576460752310663613,576460752322601023,576460752323507728,576460752340949706,576460752371014181,576460752350543972,576460752376146014,576460752351662895,576460752346991678,576460752390899558,576460752428203979,576460752490162482,576460752349961681,576460752439997503,576460752381877862,576460752451525492,576460752350766144,576460752341660212,576460752459284188,576460752307682894,576460752450546740,576460752365879827,576460752452178140,576460752497777629,576460752341784970,576460752315867390,576460752307998751,576460752425411648,576460752351761508,576460752404297433,576460752458097372,576460752515334570,576460752308079223,576460752312264765,576460752510132156,576460752317809020,576460752434673726,576460752504661305,576460752486375679,576460752331546804,576460752393858498,576460752410458442,576460752573477434,576460752312271472,576460752471096019,576460752615574316,576460752344730128,576460752497805533,576460752424273514,576460752410900906,576460752312939581,576460752316322633,576460752341185844,576460752397583589,576460752358620245,576460752506269914,576460752309308703,576460752345678547,576460752346301502,576460752441313871,576460752345372379,576460752317203580,576460752337601235,576460752485679093,576460752448273824,576460752478658775,576460752403408398,576460752397776869,576460752401006066,576460752515462314,576460752501550524,576460752493930237,576460752475280958,576460752377613098,576460752311791421,576460752326685364,576460752345804862,576460752447997344,576460752323339107,576460752429588354,576460752496897547,576460752408215553,576460752369441061,576460752409668846,576460752497753925,576460752454432440,576460752483509030,576460752463562912,576460752489244811,576460752490565163,576460752390988494,576460752473362513,576460752423840205,576460752331397756,576460752468932585,576460752494761556,576460752442268813,576460752479810733,576460752356259940,576460752430306221,576460752418836239,576460752348072196,576460752423025301,576460752424067021,576460752436030293,576460752325063011,576460752493936125,576460752314698814,576460752438752777,576460752442220970,576460752340788276,576460752480281389,576460752474272375,576460752439972159,576460752474141815,576460752368773925,576460752306863950,576460752468763166,576460752371902843,576460752364124893,576460752322640245,576460752357809879,576460752320460400,576460752332994330,576460752324582821,576460752306907167,576460752363114389,576460752378292778,576460752409056750,576460752393527091,576460752473535697,576460752360328805,576460752358944853,576460752470861882,576460752376448352,576460752425427776,576460752468407234,576460752465128878,576460752450551860,576460752406227528,576460752440249022,576460752438972775,576460752428439239,576460752447530842,576460752481509118,576460752435959431,576460752397939941,576460752319127871,576460752357948631,576460752346412862,576460752414205575,576460752505018507,576460752421546648,576460752345325886,576460752419240839,576460752314937581,576460752486376191,576460752373585474,576460752405106951,576460752332471429,576460752389709009,576460752479528877,576460752436074006,576460752491595199,576460752462515713,576460752486656472,576460752431703572,576460752337157075,576460752567303296,576460752480026407,576460752469743803,576460752359318613,576460752490122891,576460752353524657,576460752471855771,576460752440833539,576460752346506244,576460752443058590,576460752507916799,576460752391923699,576460752440590157,576460752379723306,576460752347315572,576460752427680615,576460752458554148,576460752401388161,576460752419322671,576460752493847549,576460752417104877,576460752351774161,576460752364844189,576460752322853237",,Susanna,25/09/2025,TRUE,FALSE,FALSE,,256,,,,
