Cell supertype,Catmaid name,% reviewed,Export date,Backbone coordinate,Latest segment IDs,Cell type proposal,Proofreader,Latest update,Ongoing,To split,Completed,Comments,Num. of segs,Supervoxel ID,Root ID,Root ID updated,CATMAID skid
EPG,EPG_LZ_R1-L1_AT,0,20/03/2025,,"576460752510354442,576460752361568138,576460752447234394,576460752495811469,576460752436744940,576460752442116622,576460752509407754,576460752417815151,576460752401131919,576460752438931815,576460752373818847,576460752355421307,576460752370402457,576460752329128702,576460752497660695,576460752356716923,576460752531693872,576460752498858973,576460752436838636,576460752464293185,576460752386721427,576460752489363446,576460752447358042",,,21/03/2025,TRUE,FALSE,FALSE,,22,,,,
EPG,EPG_LZ_R1-L1_AT_SH,1,20/03/2025,,"576460752492183487,576460752400900352,576460752490091058,576460752505562812,576460752335072128,576460752345712571,576460752310972208,576460752318539839,576460752345562043,576460752336585962,576460752404227801,576460752349256826,576460752364993401,576460752425699884,576460752321200018,576460752505956284,576460752309944880,576460752526632124,576460752502084284,576460752489831192,576460752449702060,576460752531527728,576460752503929532,576460752468236482,576460752478539479,576460752453781724,576460752353905013,576460752361416036,576460752494798104,576460752470738024,576460752321209746,576460752450828658,576460752450095532,576460752480773630,576460752308097840,576460752322005394,576460752387894726,576460752429805710,576460752364831097,576460752333118520,576460752362958137,576460752501931196,576460752406204488,576460752330517594,576460752353804661,576460752450088562,576460752492191167,576460752468259522,576460752430506887,576460752323061138,576460752336444138,576460752323486098,576460752478232857,576460752357819253,576460752502693820,576460752436815852,576460752478232345,576460752323269778,576460752456562908,576460752322380434,576460752345025445,576460752503730620,576460752425518124,576460752364233081,576460752321829266,576460752360745572,576460752450512300,576460752324063378,576460752451930537,576460752449932146,576460752494444312,576460752497660695,576460752323685010,576460752308057648,576460752363160377,576460752456489180,576460752345852603,576460752501888188,576460752354369909,576460752397110757,576460752453776860,576460752503326652,576460752449128306,576460752531448112,576460752505298149,576460752308009008,576460752323923090,576460752505304293,576460752365170041,576460752319007206,576460752322987922,576460752321776274,576460752308786992,576460752492241343,576460752540586627,576460752355353721,576460752531677232,576460752392358400,576460752405230209,576460752308079664,576460752353817205,576460752345612731,576460752322198674,576460752354156405,576460752372643621,576460752308174384,576460752357646197",,,05/04/2025,TRUE,FALSE,FALSE,,106,,,,
EPG,EPG_LZ_R1-L1_MS,0,20/03/2025,,"576460752505319141,576460752408361602,576460752331620357,576460752474170268,576460752410682498,576460752331442181,576460752328349692,576460752490655349,576460752408355458,576460752362281273,576460752505239013,576460752409424716,576460752461937504,576460752456267176,576460752436725484,576460752419229889,576460752338876075,576460752341522142,576460752496132692,576460752325138443,576460752493390012,576460752368963316,576460752444602213,576460752491765287,576460752489363446,576460752441444550,576460752441022094,576460752378064101,576460752406206536,576460752374134077,576460752435550334,576460752400206939,576460752497660695,576460752429832846,576460752475891058,576460752349115283,576460752342445022,576460752427693109,576460752472148380,576460752453939168,576460752347325133,576460752358334020,576460752401624537,576460752350584739,576460752356547189,576460752470642024,576460752491579431,576460752473403834,576460752481072748,576460752428387271,576460752343231584,576460752379762589,576460752401753049,576460752441647630,576460752378559973,576460752364726686,576460752388596337,576460752440583622,576460752341786846,576460752348943053,576460752354680181,576460752355449758,576460752335667365,576460752526661820,576460752328620302,576460752406407496,576460752526595260,576460752315281092,576460752505116901,576460752407010391,576460752313157195,576460752436458350,576460752365631627,576460752357356943,576460752531462192,576460752470648680,576460752517197573,576460752337437349,576460752354849141,576460752357051515,576460752346949523,576460752399742351,576460752338699179,576460752457434127,576460752461981024,576460752430725774,576460752348936653,576460752474763582,576460752347537043,576460752476927858,576460752358866334,576460752343824315,576460752330758652,576460752511814076,576460752475789682,576460752357075829,576460752347492045,576460752438931815,576460752383753619,576460752440441286,576460752496171604,576460752363324087,576460752330967805,576460752330022140,576460752436836588,576460752330162190,576460752505252837,576460752421676911,576460752314785955,576460752452031346,576460752478316492,576460752437535374,576460752376787679,576460752478115353,576460752478129177,576460752474707518,576460752343203806,576460752343085152,576460752342924367,576460752478554316,576460752493901838,576460752511402023,576460752453910240,576460752406433352,576460752339691230,576460752495889293,576460752497187083,576460752462091360,576460752363102545,576460752482224236,576460752443258400,576460752432692518,576460752390159476",,,21/03/2025,TRUE,FALSE,FALSE,,132,,,,
EPG,EPG_RY_R4_MS,0,20/03/2025,,,,,,FALSE,FALSE,FALSE,,0,,,,
EPG,EPG_RY_R4_MS,0,20/03/2025,,,,,,FALSE,FALSE,FALSE,,0,,,,
EPG,EPG_RY_R4_todo_AT_SH,0,20/03/2025,,,,,,FALSE,FALSE,FALSE,,0,,,,
EPG,EPG_RY_R5_MS,0,20/03/2025,,,,,,FALSE,FALSE,FALSE,,0,,,,
EPG,EPG_RZ_R1_todo_AT_SH,0,20/03/2025,,"576460752468061608,576460752323180774,576460752455167531,576460752406242632,576460752454090720,576460752403374233,576460752531666224,576460752468028584,576460752436752108,576460752316139775,576460752340336688,576460752479578994,576460752531573552,576460752478473330,576460752496624152,576460752354948981,576460752384488511,576460752468323010,576460752345653088,576460752531667248,576460752473487290,576460752412700618,576460752356828277,576460752451489353,576460752549425583,576460752532698066,576460752401772826,576460752331530988,576460752323520909,576460752478127897,576460752383687819,576460752343272783,576460752328782482,576460752453350002,576460752400627994,576460752338826080",,,21/03/2025,TRUE,FALSE,FALSE,,35,,,,
EPG,EPG_RZ_R1/L1_SH,0,20/03/2025,,"576460752505332453,576460752526458812,576460752505111525,576460752526695612,576460752334999417,576460752393343579,576460752532697554,576460752505244645,576460752333291790,576460752505110245,576460752393579516,576460752372306019,576460752464348737,576460752338466513,576460752485916418,576460752495647885,576460752341028305",,,21/03/2025,TRUE,FALSE,FALSE,,16,,,,
EPG,EPG_RZ_R1/L1_todo_AT_SH,0,20/03/2025,,"576460752441623238,576460752517309326,576460752478547916,576460752532697554,576460752531496240,576460752483987829,576460752442441414,576460752407550125,576460752498436573,576460752376763356,576460752308200538,576460752346798002,576460752342644904,576460752327727712,576460752478643415,576460752406936151,576460752346179506,576460752528217582,576460752328088700,576460752489497979,576460752323883183,576460752469678980,576460752461951840,576460752414617080,576460752408967085,576460752436752108,576460752367577702,576460752474587198,576460752403383193,576460752531602224,576460752328320096,576460752549425583,576460752429666326,576460752478576332,576460752442457542,576460752326041184,576460752326628192,576460752380014490,576460752337765984,576460752343786152,576460752517308046,576460752328402528,576460752454091744,576460752447234650,576460752352281486,576460752320275686",,,21/03/2025,TRUE,FALSE,FALSE,,45,,,,
